服务器id	玩家uid	操作项目	次数	总金币
197	206569579	定向洗练	20	280
197	206570891	定向洗练	2	52
197	206573631	定向洗练	47	2814
197	206576460	定向洗练	1	26
197	206601613	定向洗练	2	52
197	206605232	定向洗练	4	56
197	206619533	定向洗练	7	182
198	207618433	定向洗练	1	26
198	207695033	定向洗练	1	26
199	208671087	定向洗练	16	1274
200	209715995	定向洗练	1	26
200	209716669	定向洗练	3	322
200	220201212	定向洗练	1	26
201	210764324	定向洗练	6	84
201	210766911	定向洗练	5	196
201	210768754	定向洗练	86	2380
201	210783347	定向洗练	2	266
201	210785693	定向洗练	1	26
203	212860955	定向洗练	2	28
203	212861138	定向洗练	4	56
203	212862765	定向洗练	3	78
203	212868138	定向洗练	5	130
203	212868423	定向洗练	6	156
203	212870561	定向洗练	43	770
203	212904497	定向洗练	3	78
203	212915051	定向洗练	12	468
204	213917636	定向洗练	1	26
205	214958304	定向洗练	2	208
205	214967441	定向洗练	1	26
206	216008920	定向洗练	2	208
207	217056122	定向洗练	21	546
208	218104184	定向洗练	14	196
208	218104406	定向洗练	7	294
208	218108655	定向洗练	40	4032
208	218118149	定向洗练	5	130
208	218128470	定向洗练	7	290
208	218128841	定向洗练	4	56
208	218140426	定向洗练	10	140
208	218142353	定向洗练	1	104
208	218143219	定向洗练	13	602
208	218146194	定向洗练	68	1114
211	221249571	定向洗练	19	266
211	221250656	定向洗练	3	78
211	221263076	定向洗练	5	130
211	221305912	定向洗练	7	182
212	222298176	定向洗练	1	26
212	222298220	定向洗练	9	126
212	222298252	定向洗练	18	468
212	222298291	定向洗练	16	308
212	222299265	定向洗练	8	298
212	222312718	定向洗练	2	52
212	222366296	定向洗练	3	78
212	222366356	定向洗练	13	182
214	224395276	定向洗练	14	442
214	224396197	定向洗练	1	14
214	224397214	定向洗练	3	78
214	224404857	定向洗练	3	78
214	224406043	定向洗练	3	78
215	225443963	定向洗练	4	104
215	225443973	定向洗练	3	78
215	225444026	定向洗练	1	56
215	225445473	定向洗练	4	104
215	225445498	定向洗练	7	182
215	225446623	定向洗练	2	52
215	225446853	定向洗练	36	1014
215	225451705	定向洗练	17	238
215	225471612	定向洗练	1	104
215	225475644	定向洗练	2	52
215	225477710	定向洗练	10	1040
215	225480070	定向洗练	45	1170
215	225491446	定向洗练	5	130
215	225493957	定向洗练	2	52
215	225503589	定向洗练	18	780
215	225505013	定向洗练	4	56
215	225505065	定向洗练	2	208
217	227541338	定向洗练	13	224
217	227542922	定向洗练	7	338
217	227543946	定向洗练	15	390
217	227574957	定向洗练	4	56
217	227597848	定向洗练	8	208
217	227601816	定向洗练	62	4004
217	227603353	定向洗练	5	70
217	227616835	定向洗练	24	624
217	227618098	定向洗练	2	52
220	230687417	定向洗练	15	390
220	230687588	定向洗练	1	26
220	230693279	定向洗练	4	104
220	230693588	定向洗练	10	260
221	231735374	定向洗练	6	336
221	231735431	定向洗练	2	52
221	231740650	定向洗练	7	182
221	231753209	定向洗练	3	312
221	231755093	定向洗练	2	52
222	232783938	定向洗练	3	78
222	232788053	定向洗练	1	26
223	233832452	定向洗练	31	1820
223	233832500	定向洗练	12	672
223	233832745	定向洗练	2	52
223	233833113	定向洗练	12	168
223	233833912	定向洗练	17	238
223	233838177	定向洗练	3	42
223	233875420	定向洗练	2	52
225	235935051	定向洗练	2	52
228	239075607	定向洗练	1	26
229	240124155	定向洗练	12	312
230	241172497	定向洗练	22	854
230	241172591	定向洗练	6	156
230	241172708	定向洗练	2	52
230	241172749	定向洗练	21	294
230	241173536	定向洗练	3	168
230	241174077	定向洗练	1	104
230	241177360	定向洗练	63	17420
230	241194795	定向洗练	13	338
230	241205616	定向洗练	4	104
231	242222708	定向洗练	1	26
232	243269756	定向洗练	10	248
232	243271088	定向洗练	5	130
233	244318346	定向洗练	7	266
233	244318349	定向洗练	2	52
233	244324267	定向洗练	11	154
233	244324397	定向洗练	22	1196
233	244324524	定向洗练	1	26
233	244336029	定向洗练	27	1872
233	244351885	定向洗练	1	26
233	244361890	定向洗练	14	676
234	245367564	定向洗练	13	182
234	245367587	定向洗练	5	70
234	245368360	定向洗练	1	14
234	245369731	定向洗练	3	42
234	245370146	定向洗练	4	104
236	247466961	定向洗练	2	52
237	248512561	定向洗练	3	168
237	248512570	定向洗练	34	6110
237	248512578	定向洗练	1	26
237	248512840	定向洗练	2	52
