服务器id,玩家uid,操作项目,次数,总银币
302,316694674,普通洗练,97,263100
302,316695417,普通洗练,2,7800
302,316695733,普通洗练,29,113100
302,316696625,普通洗练,22,46200
302,316696678,普通洗练,8,31200
302,316698049,普通洗练,11,42900
302,316699085,普通洗练,8,52000
302,316699350,普通洗练,14,54600
302,316699783,普通洗练,12,46800
302,316700888,普通洗练,5,24700
302,316701010,普通洗练,6,23400
302,316701876,普通洗练,36,140400
302,316702591,普通洗练,3,19500
302,316702636,普通洗练,8,31200
302,316702638,普通洗练,28,109200
302,316702679,普通洗练,4,15600
302,316702757,普通洗练,4,26000
302,316702759,普通洗练,5,19500
302,316702843,普通洗练,5,19500
302,316703037,普通洗练,20,78000
服务器id,玩家uid,操作项目,次数,总银币
299,313524226,普通洗练,2,13000
299,313524227,普通洗练,10,65000
299,313524238,普通洗练,23,123500
299,313524283,普通洗练,1,6500
299,313524288,普通洗练,16,94900
299,313524303,普通洗练,5,19500
299,313524314,普通洗练,106,555800
299,313524334,普通洗练,4,15600
299,313524357,普通洗练,19,94900
299,313524367,普通洗练,5,19500
299,313524387,普通洗练,2,7800
299,313524405,普通洗练,2,13000
299,313524475,普通洗练,19,197600
299,313524594,普通洗练,1,6500
299,313524599,普通洗练,1,3900
299,313524635,普通洗练,12,57200
299,313524638,普通洗练,7,45500
299,313524925,普通洗练,12,46800
299,313524988,普通洗练,91,393900
299,313525256,普通洗练,14,54600
299,313525733,普通洗练,42,202800
299,313526139,普通洗练,55,369200
299,313526371,普通洗练,14,110500
299,313526458,普通洗练,62,241800
299,313526631,普通洗练,21,44100
299,313527415,普通洗练,11,71500
299,313528984,普通洗练,5,32500
299,313529465,普通洗练,17,97500
299,313530472,普通洗练,4,41600
299,313531964,普通洗练,4,29900
299,313532105,普通洗练,15,97500
299,313532914,普通洗练,3,19500
299,313533251,普通洗练,1,6500
299,313533874,普通洗练,18,70200
299,313534188,普通洗练,5,19500
299,313537116,普通洗练,28,111800
299,313538367,普通洗练,5,17500
299,313540349,普通洗练,5,19500
299,313544550,普通洗练,22,77000
299,313546515,普通洗练,9,93600
299,313549273,普通洗练,63,132300
299,313550583,普通洗练,24,93600
299,313551099,普通洗练,6,39000
299,313557085,普通洗练,38,161200
299,313557178,普通洗练,19,74100
299,313557955,普通洗练,6,39000
299,313558257,普通洗练,4,26000
299,313559014,普通洗练,8,41600
299,313559254,普通洗练,7,45500
299,313559585,普通洗练,1,6500
